productCode,productName,productSlug,sku,colour,size,quantity,unitCostZar,lineTransferValueZar,approvedSellingPriceZar,costBasis,sourceFamily,basisNote,provisional,seller,buyer,legalSellerAfterTransfer,brand,category,enabled,availability
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-CHSTN-L,Chestnut,L,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-CHSTN-M,Chestnut,M,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-FRERO-L,French Rose,L,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-FRERO-M,French Rose,M,2,160.0,320.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-SKYBL-L,Sky Blue,L,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-SKYBL-M,Sky Blue,M,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P003,KS Active Rib Scrunch Legging,ks-active-rib-scrunch-legging,KS-ARCH-P003-SKYBL-S,Sky Blue,S,1,160.0,160.0,499.0,January 2023 Order.xlsx family: seamless-high-stretch-scrunch-butt-leggings,seamless-high-stretch-scrunch-butt-leggings,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-IMPRE-L,Imperial Red,L,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-IMPRE-S,Imperial Red,S,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
P010,KS Active Cutout Crossback Bra,ks-active-cutout-crossback-bra,KS-ARCH-P010-PEAYE-M,Peach Yellow,M,1,130.0,130.0,399.0,January 2023 Order.xlsx family: seamless-crisscross-cut-out-back-sports-bra,seamless-crisscross-cut-out-back-sports-bra,Direct January 2023 family match,False,K SENTWA T/A KS ACTIVE,KALM COLLECTIVE (PTY) LTD,KALM COLLECTIVE (PTY) LTD,KS Active,KS Active Archive,True,low_stock
