Item Name,SKU,Item Description,Selling Price,Product Type,Item Type,Track Inventory,Status,Unit,Sellable,Purchasable,Sales Account,Purchase Description,Purchase Price,Purchase Account,Inventory Account,Opening Stock,Opening Stock Value,Preferred Vendor,Brand,CF.Product Code,CF.Category,CF.Colour,CF.Size
KS Active Rib Scrunch Legging - Ash Gray - S,KS-ARCH-P003-ASHGR-S,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Ash Gray. Size: S. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Ash Gray,S
KS Active Rib Scrunch Legging - Black - L,KS-ARCH-P003-BLCKB-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Black. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Black,L
KS Active Rib Scrunch Legging - Black - S,KS-ARCH-P003-BLCKB-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Black. Size: S. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Black,S
KS Active Rib Scrunch Legging - Chestnut - L,KS-ARCH-P003-CHSTN-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Chestnut. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Chestnut,L
KS Active Rib Scrunch Legging - Chestnut - M,KS-ARCH-P003-CHSTN-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Chestnut. Size: M. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Chestnut,M
KS Active Rib Scrunch Legging - French Rose - L,KS-ARCH-P003-FRERO-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: French Rose. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,French Rose,L
KS Active Rib Scrunch Legging - French Rose - M,KS-ARCH-P003-FRERO-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: French Rose. Size: M. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,2,320.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,French Rose,M
KS Active Rib Scrunch Legging - Sky Blue - L,KS-ARCH-P003-SKYBL-L,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Sky Blue. Size: L. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Sky Blue,L
KS Active Rib Scrunch Legging - Sky Blue - M,KS-ARCH-P003-SKYBL-M,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Sky Blue. Size: M. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Sky Blue,M
KS Active Rib Scrunch Legging - Sky Blue - S,KS-ARCH-P003-SKYBL-S,KS Active Archive item sold by KALM Collective. Product code: P003. Colour: Sky Blue. Size: S. Route: /product/ks-active-rib-scrunch-legging,499.00,goods,Inventory,true,Active,pcs,true,true,Product Sales,KS Active Archive stock transfer from K SENTWA T/A KS ACTIVE. Product code: P003.,160.00,Cost of Goods Sold,Inventory Asset,1,160.00,K SENTWA T/A KS ACTIVE,KS Active,P003,KS Active Archive,Sky Blue,S
