SKU,Item Name,Opening Stock,Opening Stock Value,Purchase Rate,Vendor,Brand,Category
KS-ARCH-P019-BLCKB-S,KS Active Cutout Seamless Bra - Black - S,1,130.00,130.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P019-DESGO-L,KS Active Cutout Seamless Bra - Desert Gold - L,1,130.00,130.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P019-DESGO-M,KS Active Cutout Seamless Bra - Desert Gold - M,1,130.00,130.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P019-DESGO-S,KS Active Cutout Seamless Bra - Desert Gold - S,1,130.00,130.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P019-STLST-S,KS Active Cutout Seamless Bra - Steel - S,1,130.00,130.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-APRCT-L,KS Active Crossback Seamless Bra - Apricot - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-APRCT-M,KS Active Crossback Seamless Bra - Apricot - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-APRCT-S,KS Active Crossback Seamless Bra - Apricot - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-EGYBL-L,KS Active Crossback Seamless Bra - Egyptian Blue - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-EGYBL-M,KS Active Crossback Seamless Bra - Egyptian Blue - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-EGYBL-S,KS Active Crossback Seamless Bra - Egyptian Blue - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-PCHPE-L,KS Active Crossback Seamless Bra - Peach - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-PCHPE-M,KS Active Crossback Seamless Bra - Peach - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-PCHPE-S,KS Active Crossback Seamless Bra - Peach - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-SPPHR-L,KS Active Crossback Seamless Bra - Sapphire - L,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-SPPHR-M,KS Active Crossback Seamless Bra - Sapphire - M,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
KS-ARCH-P020-SPPHR-S,KS Active Crossback Seamless Bra - Sapphire - S,1,160.00,160.00,K SENTWA T/A KS ACTIVE,KS Active,KS Active Archive
